season,date,away.team,away.score,home.team,home.score,line,over_under
2015,2015-09-03,FIU,15,UCF,14,-12.0,47.0
2015,2015-09-03,UNC,17,SC,13,-1.5,62.0
2015,2015-09-03,OKST,24,CMU,13,21.5,58.0
2015,2015-09-03,VMI,36,BALL,48,-34.5,64.5
2015,2015-09-03,ELON,3,WAKE,41,-27.0,40.5
2015,2015-09-03,ALCN,6,GT,69,-41.0,65.0
2015,2015-09-03,VILL,15,CONN,20,7.0,51.0
2015,2015-09-03,WKU,14,VAN,12,1.5,60.0
2015,2015-09-03,MICH,17,UTAH,24,-5.0,44.5
2015,2015-09-03,SUTAH,9,USU,12,-32.0,47.0
2015,2015-09-03,OHIO,45,IDHO,28,7.0,57.5
2015,2015-09-03,TCU,23,MINN,17,19.0,60.0
2015,2015-09-03,DUKE,37,TULN,7,6.0,52.5
2015,2015-09-03,ACU,13,FRES,34,-20.5,58.0
2015,2015-09-03,UTSA,32,ARIZ,42,-33.0,58.5
2015,2015-09-03,CDAV,17,NEV,31,-24.0,59.5
2015,2015-09-03,UNH,13,SJSU,43,-7.0,53.0
2015,2015-09-03,COLO,20,HAW,28,9.5,62.5
2015,2015-09-04,CHAR,23,GAST,20,-7.5,68.0
2015,2015-09-04,MSU,37,WMU,24,16.5,55.5
2015,2015-09-04,BAY,56,SMU,21,35.5,71.0
2015,2015-09-04,URI,0,SYR,47,-33.5,43.5
2015,2015-09-04,FORD,37,ARMY,35,-13.0,63.0
2015,2015-09-04,WEBER,7,ORST,26,-28.0,53.0
2015,2015-09-04,WASH,13,BSU,16,-12.5,55.5
2015,2015-09-05,ULM,14,UGA,51,-36.0,54.0
2015,2015-09-05,STAN,6,NW,16,11.0,47.5
2015,2015-09-05,KENT,3,ILL,52,-13.0,53.0
2015,2015-09-05,UTEP,13,ARK,48,-33.0,49.5
2015,2015-09-05,LOU,24,AUB,31,-10.5,58.0
2015,2015-09-05,UVA,16,UCLA,34,-19.5,52.5
2015,2015-09-05,BYU,33,NEB,28,-6.5,59.5
2015,2015-09-05,ODU,38,EMU,34,5.0,61.0
2015,2015-09-05,PSU,10,TEM,27,6.5,44.0
2015,2015-09-05,FAU,44,TLSA,47,-5.0,67.0
2015,2015-09-05,BGSU,30,TENN,59,-22.0,69.5
2015,2015-09-05,TROY,21,NCST,49,-26.0,63.0
2015,2015-09-05,AKR,3,OKLA,41,-33.0,57.5
2015,2015-09-05,ASU,17,TAMU,38,-3.0,70.0
2015,2015-09-05,ULL,33,UK,40,-17.0,58.0
2015,2015-09-05,TEX,3,ND,38,-10.0,48.5
2015,2015-09-05,GASO,0,WVU,44,-17.5,56.0
2015,2015-09-05,NMST,13,FLA,61,-35.5,54.5
2015,2015-09-05,UNLV,30,NIU,38,-23.5,62.0
2015,2015-09-05,WIS,17,ALA,35,-14.0,48.5
